Time,Oxygen Level,Pulse Rate,Motion
17:50:47 16/08/2026,96,127,12
17:50:49 16/08/2026,96,127,25
17:50:51 16/08/2026,96,127,7
17:50:53 16/08/2026,96,126,1
17:50:55 16/08/2026,96,126,0
17:50:57 16/08/2026,96,125,9
17:50:59 16/08/2026,96,126,9
17:51:01 16/08/2026,96,127,1
17:51:03 16/08/2026,96,126,26
17:51:05 16/08/2026,96,126,1
17:51:07 16/08/2026,96,130,0
17:51:09 16/08/2026,96,130,0
17:51:11 16/08/2026,96,129,0
17:51:13 16/08/2026,96,130,1
17:51:15 16/08/2026,96,127,0
17:51:17 16/08/2026,96,124,0
17:51:19 16/08/2026,96,122,0
17:51:21 16/08/2026,96,120,0
17:51:23 16/08/2026,96,120,0
17:51:25 16/08/2026,96,121,1
17:51:27 16/08/2026,96,121,0
17:51:29 16/08/2026,96,121,0
17:51:31 16/08/2026,96,121,0
17:51:33 16/08/2026,96,121,0
17:51:35 16/08/2026,96,121,0
17:51:37 16/08/2026,96,123,0
17:51:39 16/08/2026,96,123,0
17:51:41 16/08/2026,96,124,0
17:51:43 16/08/2026,96,123,0
17:51:45 16/08/2026,97,123,0
17:51:47 16/08/2026,97,122,0
17:51:49 16/08/2026,97,121,1
17:51:51 16/08/2026,96,121,0
17:51:53 16/08/2026,96,121,0
17:51:55 16/08/2026,96,121,2
17:51:57 16/08/2026,96,121,0
17:51:59 16/08/2026,96,121,0
17:52:01 16/08/2026,96,120,0
17:52:03 16/08/2026,96,120,0
17:52:05 16/08/2026,96,120,0
17:52:07 16/08/2026,96,120,0
17:52:09 16/08/2026,96,120,0
17:52:11 16/08/2026,96,119,1
17:52:13 16/08/2026,96,119,0
17:52:15 16/08/2026,96,119,1
17:52:17 16/08/2026,96,120,0
17:52:19 16/08/2026,96,120,0
17:52:21 16/08/2026,96,120,1
17:52:23 16/08/2026,96,120,0
17:52:25 16/08/2026,96,121,0
17:52:27 16/08/2026,96,121,0
17:52:29 16/08/2026,96,122,0
17:52:31 16/08/2026,96,121,1
17:52:33 16/08/2026,96,121,0
17:52:35 16/08/2026,96,120,0
17:52:37 16/08/2026,96,120,0
17:52:39 16/08/2026,96,121,0
17:52:41 16/08/2026,96,121,0
17:52:43 16/08/2026,96,121,0
17:52:45 16/08/2026,96,120,0
17:52:47 16/08/2026,96,120,1
17:52:49 16/08/2026,96,119,0
17:52:51 16/08/2026,96,121,0
17:52:53 16/08/2026,96,121,1
17:52:55 16/08/2026,96,122,1
17:52:57 16/08/2026,96,123,1
17:52:59 16/08/2026,96,123,1
17:53:01 16/08/2026,96,123,0
17:53:03 16/08/2026,96,124,0
17:53:05 16/08/2026,96,125,0
17:53:07 16/08/2026,96,125,0
17:53:09 16/08/2026,96,126,0
17:53:11 16/08/2026,96,126,0
17:53:13 16/08/2026,96,125,1
